Diagonisis Code,Disease,Description,Common Symptomps,Medicine,Doctor,Doctor's Number,Doctor's Address
54868-2847,Convolvulaceae,"Postprocedural urethral stricture, male, meatal",Obstructiv hydrocephalus,Quinapril Hydrochloride and Hydrochlorothiazide,Link Allatt,(580) 1170428,03 Elka Lane
52959-527,Araceae,"Person boarding or alighting a three-wheeled motor vehicle injured in noncollision transport accident, sequela",Ankylosis-ankle,Orphenadrine Citrate,Dunc McKie,(874) 6059789,673 Melvin Terrace
11822-0200,Oleaceae,"Unspecified injury of unspecified tibial artery, left leg",Spinal stenosis-oth site,Childrens Fever Reducer and Pain Reliever,Lula Jandac,(824) 7360655,43 Rockefeller Park
55648-553,Acarosporaceae,"Laceration of muscle(s) and tendon(s) of anterior muscle group at lower leg level, unspecified leg, subsequent encounter",Vertical heterophoria,RISPERIDONE,Francoise Stygall,(807) 7207733,67125 Maryland Way
12496-1208,Rhizocarpaceae,"Assault by steam or hot vapors, subsequent encounter",Cervicitis,Suboxone,Kean Genever,(636) 9458798,726 Kenwood Park
43063-441,Scrophulariaceae,Cutaneous abscess of hand,Miliary TB NEC-unspec,Gabapentin,Sybilla Van,(632) 3130687,025 Buell Hill
10544-105,Liliaceae,"Underdosing of carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics, subsequent encounter",Initial lesions yaws,Hydrochlorothiazide,Slade Killik,(187) 9030226,19 Monica Place
13107-001,Boraginaceae,"Calcium deposit in bursa, multiple sites",Heart chamber lacer-opn,Mirtazapine,Lorin Windeatt,(575) 8345642,8547 Monterey Avenue
52685-444,Fabaceae,"Unspecified injury of muscle, fascia and tendon of left hip",Malign neopl vagina,SHISEIDO ADVANCED HYDRO-LIQUID COMPACT (REFILL),Legra Sheal,(602) 9072966,82 Maryland Way
62037-695,Ericaceae,"Toxic effect of ingested berries, undetermined, initial encounter",Machinery accident NEC,Diltiazem Hydrochloride,Nicolina Edy,(987) 3924997,8 Granby Crossing
61543-7501,Bromeliaceae,"Poisoning by benzodiazepines, accidental (unintentional)",Military activity,HAND PERFECTION ANTI-AGING SKINCARE nourishing day SPF 15,Susanna Dorset,(308) 3444161,51 Bashford Drive
48951-8105,Hydrophyllaceae,"Idiopathic gout, left hip",Urethrocele,Pyrite Salvia Scratchy Throat Relief,Adella Bernucci,(714) 8372695,439 Summer Ridge Trail
42291-839,Pteridaceae,Conjunctival cysts,Coarctation of aorta,Trandolapril,Ciro Bier,(865) 5083422,2677 Union Drive
67777-120,Equisetaceae,"Bucket-handle tear of medial meniscus, current injury, right knee, sequela",Benign neoplasm sm bowel,Alcohol Swabstick,Mallissa MacGowan,(756) 3107553,129 Orin Street
10742-8476,Ranunculaceae,"Other superficial injuries of right thumb, sequela",Lymphomas NEC thorax,Softlips,Rania Harme,(420) 3674135,4363 Southridge Place
49288-0192,Liliaceae,"Nondisplaced fracture of neck of third metacarpal bone, right hand, subsequent encounter for fracture with nonunion",Ob pelvic hematoma-deliv,Chinese (Siberian) Elm,Bent Swett,(461) 6322117,0 Vera Parkway
52125-677,Monotropaceae,"Pathological fracture in other disease, other site, subsequent encounter for fracture with nonunion",Metrorrhagia,Tamsulosin Hydrochloride,Mercie Grewar,(650) 4944415,06 Becker Plaza
58194-014,Chenopodiaceae,Osteochondritis dissecans of hip,Silica pneumocon NEC,Cupcake,Giselle Vinau,(362) 5981017,422 Declaration Hill
59779-077,Cyperaceae,"Heat exposure on board sailboat, subsequent encounter",Acc poison-mushrooms,CVS Daily Pore Clearing Pads,Hoebart Thoms,(813) 4765022,12430 Oneill Hill
41250-836,Poaceae,"Military operations involving explosion of guided missile, civilian, initial encounter",Backache NOS,Itchy Scalp,Schuyler Eckhard,(611) 2620456,494 Derek Terrace
0268-0809,Lamiaceae,Polyneuropathy in diseases classified elsewhere,Thrush,ALTERNARIA TENUIS,Carol Stratten,(227) 5909384,86625 Loeprich Avenue
0363-4246,Asteraceae,Fibrosclerosis of left breast,Ac margin ulc w perf-obs,studio35 Eczema,Heidie Bristoe,(159) 7357029,896 Monterey Plaza
61995-2827,Rubiaceae,Other superficial bite of lip and oral cavity,Aortic atresia/stenosis,Alba Hawaiian Green Tea Sunblock SPF 45,Carrol Slingsby,(317) 7513130,779 Dakota Center
0113-0759,Saxifragaceae,"War operations involving destruction of aircraft due to onboard fire, military personnel, subsequent encounter",Adv eff antmycob antbiot,good sense pain relief,Damiano Pretsell,(660) 5891585,2 Anniversary Center
0245-0003,Cupressaceae,"Contusion of unspecified part of neck, subsequent encounter",Trochanteric fx NOS-open,SSKI,Linnea Davidescu,(785) 5005185,5 American Ash Crossing
43857-0275,Polemoniaceae,Foodborne Vibrio vulnificus intoxication,Adrenal gland injury-opn,Acne,Ferrel Kisar,(923) 2127755,31 Farwell Center
68472-125,Crassulaceae,"Toxic liver disease, unspecified",Acne varioliformis,No7 Protect and Perfect Foundation Sunscreen Broad Spectrum SPF 15 Ebony,Keely Pocklington,(481) 4796118,05727 Rigney Court
52125-335,Asteraceae,"Other accident with babystroller, initial encounter",Cerv incompet-postpartum,Naloxone Hydrochloride,Blake Cutler,(461) 7038591,31544 Pine View Place
59899-004,Malvaceae,Traumatic cerebral edema with loss of consciousness of any duration with death due to other cause prior to regaining consciousness,Spec lacrimal gland anom,Roll-On Antiperspirant,Tiffy Rizziello,(870) 5120738,34527 Leroy Center
0462-0346,Asteraceae,"Military operations involving other fires, conflagrations and hot substances, military personnel, sequela",Hemorrhage NOS,Zazole,Elsey Parell,(644) 3927159,858 Arkansas Court
0093-0739,Commelinaceae,"Other fracture of fifth lumbar vertebra, subsequent encounter for fracture with routine healing",Sprain of thyroid region,Donepezil Hydrochloride,Lodovico McGreil,(632) 2289225,6209 Dunning Terrace
0186-0742,Asteraceae,"Strain of adductor muscle, fascia and tendon of left thigh, subsequent encounter",Nephr NOS/medull necros,PRILOSEC,Ingunna McGinley,(342) 4299272,558 Sachtjen Road
0597-0137,Poaceae,"Sprain of metacarpophalangeal joint of left middle finger, subsequent encounter",DMI ophth nt st uncntrld,Gilotrif,Rabi Courtese,(772) 8111918,32 Granby Court
0026-3795,Lamiaceae,Carrier of infectious disease,Lung contusion-open,Kogenate FS,Humberto Pawelczyk,(591) 8923692,652 Shoshone Street
55319-110,Asteraceae,"Pathological fracture in other disease, left shoulder, subsequent encounter for fracture with malunion",Breast engorge-del w p/p,Bacitracin Zinc,Maryl Lovell,(898) 1905839,4865 Bonner Point
57520-0764,Fabaceae,"Displaced transcondylar fracture of unspecified humerus, initial encounter for closed fracture",Prinzmetal angina,Rheumatic Tonic,Hana Blakden,(768) 1507258,63551 Comanche Way
66129-810,Opegraphaceae,"Other mechanical complication of aortic (bifurcation) graft (replacement), initial encounter",Ganglion of tendon,Topiclear Paris,Judon Ades,(606) 4684404,559 Nova Plaza
50231-311,Lamiaceae,Occupant (driver) (passenger) of three-wheeled motor vehicle injured in other specified transport accidents,Subtrochanteric fx-open,Medistik,Lilia Boate,(423) 2637783,1 Lawn Trail
0228-3659,Liliaceae,"Staphylococcal arthritis, unspecified elbow",90% + bdy brn/10-19% 3rd,Ropinirole,Beniamino Phateplace,(775) 8819776,3236 Dakota Junction
21130-667,Saxifragaceae,"Pathological fracture in other disease, unspecified ulna and radius, subsequent encounter for fracture with routine healing",Cerebell contus-brf coma,citroma,Georgianne Bowles,(108) 3606722,7 Twin Pines Way
44087-1088,Ranunculaceae,"Nondisplaced fracture of shaft of unspecified clavicle, initial encounter for open fracture",Prolonged 2nd stage-unsp,Saizen,Karole Bellingham,(217) 7912046,9507 Bultman Way
13668-007,Caryophyllaceae,"Other complications specific to multiple gestation, second trimester, fetus 4",Persistent fetal circ,ZOLPIDEM TARTRATE,Galvin Struthers,(799) 8524023,105 1st Crossing
0591-5883,Fabaceae,Fear of bridges,Psychogenic disorder NEC,methylphenidate hcl,Lorelei Graalmans,(429) 2235271,236 Sachtjen Center
0268-0286,Liliaceae,"Poisoning by other psychodysleptics [hallucinogens], intentional self-harm, subsequent encounter",Cardiac dysrhythmia NOS,"Redtop Grass, Standardized",Dorelle Jonczyk,(912) 4683920,229 Algoma Street
64117-239,Poaceae,"Person boarding or alighting a motorcycle injured in collision with heavy transport vehicle or bus, sequela",Abn finding-breast NEC,HEADACHE SORE THROAT,Yehudit Cisec,(506) 7211984,69670 Lerdahl Way
65044-3565,Solanaceae,"Other specified injuries of unspecified elbow, subsequent encounter",Chr peptic ulc perf-obst,"Food - Fish and Shellfish, Salmon Salmo salar",Cointon Waldron,(755) 2905048,26 Porter Street
68479-150,Saxifragaceae,"Cochlear otosclerosis, right ear",Retinal vascular changes,Super Sensitive Shield,Shurlock Buckoke,(364) 2821585,2091 Vera Parkway
63187-115,Primulaceae,"Superficial foreign body of right eyelid and periocular area, sequela",Int inf norwalk virus,Zolpidem Tartrate,Joshua Hilley,(264) 7431956,4 Muir Alley
64679-982,Salicaceae,Fracture of lunate [semilunar],Sprain of ankle NOS,Fexofenadine,Alexei McBayne,(286) 2988735,04956 Fuller Drive
43857-0277,Teloschistaceae,"Pathological fracture in neoplastic disease, left fibula",Trauma compart synd abd,PYCNOGENOL,Crosby Bartels-Ellis,(929) 3330956,245 Donald Park
0078-0149,Rhamnaceae,Legal intervention involving firearm discharge,No vaccin-prev disease,Miacalcin,Tybie Blasgen,(961) 5614114,712 Hagan Circle
0264-7578,Fabaceae,"Nondisplaced transverse fracture of shaft of right tibia, initial encounter for open fracture type IIIA, IIIB, or IIIC",Malposition NOS-antepart,Mannitol,Vinnie Le Maitre,(174) 7731517,7 Erie Trail
21695-836,Funariaceae,"False labor before 37 completed weeks of gestation, second trimester",Late eff CV dis-apraxia,Allopurinol,Lee Gabbett,(230) 4350034,55 Kenwood Lane
13668-151,Scrophulariaceae,Drowning and submersion due to fall off unspecified watercraft,Pelvic fracture NEC-clos,QUETIAPINE FUMARATE,Rae Berrycloth,(469) 3786776,6 Portage Plaza
68428-121,Boraginaceae,Diverticulitis of small intestine with perforation and abscess with bleeding,FB in lacrimal punctum,Spongia Tosta Kit Refill,Scotty Chawner,(462) 7747533,03 Linden Trail
36987-2894,Ophioparmaceae,"Greenstick fracture of shaft of radius, left arm",Cervical spinal stenosis,White Oak,Dee Arthan,(742) 2577813,751 Ryan Alley
13537-400,Cyperaceae,"Injury of adductor muscle, fascia and tendon of thigh",Ob inj pelv org NEC-del,Cyzone,Zahara Dwyr,(366) 7599270,60421 Grover Center
61912-103,Poaceae,"Other specified bursopathies, unspecified shoulder",Streptococcal meningitis,ArthriPure,Charlotte Campione,(612) 3026660,48 Lunder Point
59351-0303,Asteraceae,"Nondisplaced comminuted fracture of shaft of right femur, subsequent encounter for open fracture type I or II with delayed healing",Fall on sidewalk curb,Rimmel London,Welch Telling,(672) 8789600,0191 Kim Park
41250-699,Leskeaceae,"Maternal care for viable fetus in abdominal pregnancy, second trimester, other fetus",Post disl prox tibia-opn,Adult CF Cough,Zachary Tomanek,(395) 7866037,7208 Welch Park
41520-170,Poaceae,"Other injury of muscle and tendon of long flexor muscle of toe at ankle and foot level, right foot, sequela",Viral labyrinthitis,ANTIBACTERIAL FOAMING,Cristy Vest,(880) 9835352,3 Maywood Junction
63736-375,Rubiaceae,Unspecified glider (nonpowered) accident injuring occupant,Bone disorder-delivered,Americaine,Kingsley Furze,(907) 6491792,21445 Bonner Park
65692-0263,Letrouitiaceae,"Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with nonunion",Gc endometritis (acute),Natural SUN,Norby Course,(357) 7641418,87 Loomis Alley
53389-563,Ranunculaceae,"Accidental discharge of other larger firearm, subsequent encounter",1 deg burn fingr w thumb,EROS EXTENDED LOVE GLIDE,Tamar Tovey,(555) 1338881,88081 Randy Center
42291-625,Fabaceae,"Poisoning by tetracyclic antidepressants, accidental (unintentional), initial encounter",Allerg arthritis-l/leg,Mexiletine Hydrochloride,Wells Schlagman,(790) 3915508,76746 East Terrace
10348-001,Apiaceae,"Juvenile rheumatoid arthritis with systemic onset, right ankle and foot",Fx mult cervical vert-cl,STUDIO SKIN,Christean Shower,(529) 2081454,2 Thackeray Place
0093-5771,Brassicaceae,"Laceration of unspecified muscle, fascia and tendon at shoulder and upper arm level, right arm, sequela",Benign neoplasm cornea,Olanzapine,Elsbeth Pond-Jones,(231) 7372726,44 Morningstar Pass
67046-250,Fumariaceae,Malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb,Dentofac funct abnor NEC,Guaifenesin,Celle Elleyne,(603) 7380026,596 Beilfuss Point
59779-801,Brassicaceae,"Displaced fracture of lesser trochanter of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",TB of spleen-unspec,CVS PHARMACY,Jo-ann Scattergood,(256) 5372114,0 Glacier Hill Hill
59387-002,Fabaceae,"Burn of second degree of left axilla, subsequent encounter",Hereditary optic atrophy,NITROGEN,Micaela Scurr,(814) 7872417,2395 Division Junction
55154-8252,Oleaceae,"Other spondylosis, sacral and sacrococcygeal region",Fx metacarp base NEC-cl,Nystatin,Corliss Seyfart,(374) 8774194,60877 Doe Crossing Terrace
63323-318,Asclepiadaceae,"Displaced fracture (avulsion) of medial epicondyle of right humerus, sequela",Mantle cell lymph spleen,Granisetron,Filmer Ramberg,(375) 3259304,543 Bowman Point
54569-1889,Scrophulariaceae,"Follicular lymphoma grade IIIb, lymph nodes of inguinal region and lower limb",Benign neo resp sys NOS,Dicloxacillin Sodium,Chickie Goodsell,(329) 2847629,53 Dennis Trail
0904-6187,Poaceae,"Juvenile osteochondrosis of humerus, left arm",Pubertal menorrhagia,Extended Phenytoin Sodium,Booth Pipworth,(981) 3929369,319 Eastwood Center
68479-412,Poaceae,"Other specific joint derangements of left hip, not elsewhere classified",Mal neo aryepiglott fold,Dynamic Skin Recovery,Bernadina Levins,(672) 8023433,65673 Burning Wood Circle
47335-837,Fabaceae,"Underdosing of aspirin, sequela",Polio osteopathy NEC,Galantamine Hydrobromide,Bord Kolodziej,(234) 2177044,0 Union Pass
76439-245,Annonaceae,"Pressure ulcer of right elbow, stage 4",Autonomic nerve dis NEC,NATALVIRT 90DHA,Ariana Regelous,(913) 1147052,810 Declaration Trail
0409-7972,Cyperaceae,"Aural vertigo, left ear",Chr motor/vocal tic dis,Sodium Chloride,Herc Lage,(600) 2480871,04556 Loomis Place
55154-1678,Mycoporaceae,"Osteophyte, left hand",Chr T & A dis NEC,donepezil hydrochloride,Major Lembcke,(369) 9555290,271 Lunder Parkway
10237-694,Proteaceae,Tibial collateral bursitis [Pellegrini-Stieda],Ac DVT/embl low ext NOS,Simply Saline Plus Wound Wash,Ara Harcourt,(382) 5551657,78 Huxley Center
16781-154,Convolvulaceae,"Ocular laceration and rupture with prolapse or loss of intraocular tissue, left eye, initial encounter","Fx mid/prx phal, hand-cl",Clarifoam EF,Garreth Waitland,(559) 6578535,1535 Dayton Point
36987-3110,Agavaceae,"Other injury of gallbladder, initial encounter",Vaccination for DTP-DTaP,Poplar,Ignatius Eginton,(839) 4766080,1355 Straubel Drive
46994-458,Lamiaceae,"Unspecified injury of other flexor muscle, fascia and tendon at forearm level, unspecified arm, subsequent encounter",Blood in stool,being well allergy,Tally Muddiman,(848) 7677315,98992 Weeping Birch Place
76237-150,Parmeliaceae,Thiamine deficiency,"Pressure ulcer,stage III",Divalproex Sodium,Terrie Hullot,(429) 8819798,6937 Pankratz Junction
0220-9332,Myristicaceae,"Inhalant abuse with intoxication, unspecified",Opn skul fx NEC-brf coma,Sedalia,Loralie Rowling,(462) 2801804,7439 Bartillon Point
60429-348,Ericaceae,"Blister (nonthermal), unspecified thigh, subsequent encounter",Abnorm secretion gastrin,Phenelzine Sulfate,Gannie Kilminster,(742) 4145041,02 Milwaukee Way
55289-218,Campanulaceae,"Strain of muscle, fascia and tendon of triceps, unspecified arm",Traum hemothorax-closed,Potassium Chloride,Haley Rowen,(352) 5132464,74880 Clemons Lane
51079-658,Gunneraceae,"Strain of extensor muscle, fascia and tendon of right ring finger at wrist and hand level, initial encounter",Benign neo urinary NEC,Albuterol,Doyle McGuigan,(730) 4328279,312 Rockefeller Center
69072-100,Fabaceae,"War operations involving explosion of aerial bomb, civilian, sequela",Leukemoid reaction,HYALURONIC ACID COLLAGEN ESSENCE MASK,Mella Stickels,(973) 5139354,30174 Hagan Center
61722-208,Malvaceae,Pouchitis,Injury portal vein,flormar REBORN FOUNDATION SUNSCREEN BROAD SPECTRUM SPF 20 SF24 Medium,Broderick Duigenan,(424) 9395117,33 Corry Court
36987-2821,Liliaceae,Plasmodium malariae malaria with nephropathy,Infertility-tubal origin,Black Oak,Kennett Gillespey,(226) 4575668,2563 Tennyson Hill
36987-1345,Amblystegiaceae,"Displaced fracture of medial condyle of left femur, subsequent encounter for closed fracture with malunion",Orbital cellulitis,Lime,Ricard Vamplers,(863) 9448925,7 Bay Street
65954-538,Teloschistaceae,"Poisoning by other synthetic narcotics, assault, subsequent encounter",Amnestic disord oth dis,Colgate Winter Watermelon Flavor,Marys Guittet,(649) 2874121,85172 Schiller Park
0093-1087,Scrophulariaceae,"Fracture of malar, maxillary and zygoma bones, unspecified",Malposition NEC-antepart,Cefaclor,Abbey Shobbrook,(135) 7906016,4 Stuart Park
54569-2173,Orchidaceae,Motorcycle driver injured in collision with pedestrian or animal in nontraffic accident,Osteoarthrosis-mult site,Lorazepam,Codie Comino,(977) 3442524,27 Fallview Junction
52685-401,Asteraceae,"Minor laceration of branches of celiac and mesenteric artery, sequela",Disorders labyrinth NEC,SHISEIDO SHEER MATIFYING COMPACT (REFILL),Darby Lomax,(690) 4587393,40578 Algoma Terrace
60505-2661,Saxifragaceae,"Unspecified physeal fracture of upper end of humerus, right arm, subsequent encounter for fracture with routine healing",Cor ath artry bypas grft,Flecainide Acetate,Cathrine Banishevitz,(368) 9733387,05 Oak Pass
23155-108,Geraniaceae,Rubella [German measles],Esophageal disorder NOS,Nimodipine,Heida Meace,(175) 1650713,7 Waxwing Place
42291-529,Chenopodiaceae,Laceration of other blood vessels at forearm level,Peroxisomal disorders,FLUDROCORTISONE ACETATE,Leone Bantick,(809) 2618041,38322 Hintze Terrace
58411-185,Scrophulariaceae,Degeneration of ciliary body,Isol tracheal tb-cult dx,SHISEIDO THE MAKEUP FOUNDATION,Abagael Stiegers,(138) 3268115,3920 North Road
0078-0354,Oleaceae,"Toxic effect of coral snake venom, undetermined, subsequent encounter",Cerebel contus-prol coma,Lescol,Pierson Pinnell,(735) 1100262,6 Pepper Wood Park
52731-7049,Fabaceae,"Traumatic subdural hemorrhage with loss of consciousness of 30 minutes or less, initial encounter",Superfic inj trunk NEC,Relaxation Complex,Shanie Ohrt,(572) 3848738,32 Hollow Ridge Avenue
21695-686,Leucodontaceae,"Spacecraft explosion injuring occupant, sequela",Cestode infection NOS,Perrigo Benzoyl Peroxide,Zacharia Lawerence,(881) 4093029,5545 Glacier Hill Trail
54868-6227,Lamiaceae,"Periprosthetic fracture around internal prosthetic left shoulder joint, sequela",Superfic inj conjunctiva,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate",Erskine Umbers,(767) 9362937,5677 Calypso Center
67296-0620,Fabaceae,Traumatic hemorrhage of right cerebrum with loss of consciousness of unspecified duration,Ab ftl hrt rt/rh b/f lab,ciprofloxacin,Derward Andrichak,(115) 7621165,90494 Banding Drive
54868-4761,Arecaceae,"Fall into well, sequela",Abn react-fluid aspirat,Estropipate,Papageno Aylmer,(500) 8051201,4033 Roth Circle
0172-5410,Poaceae,"Greenstick fracture of shaft of unspecified ulna, subsequent encounter for fracture with nonunion",TB lung infiltr-unspec,Fluconazole,Zea McGarahan,(928) 3154877,2 Carpenter Center
55312-604,Liliaceae,"Unspecified injury of left hip, subsequent encounter",3rd deg burn w loss-ear,ibuprofen,Rubie Shakesby,(758) 1879483,68 Ridgeview Drive
0363-8410,Asteraceae,"Person on outside of heavy transport vehicle injured in noncollision transport accident in traffic accident, sequela",Low tension glaucoma,Studio35 Extra Strength Medicated Body,Mohandis Verni,(122) 1312672,48492 Muir Trail
43857-0248,Brassicaceae,Other traumatic spondylolisthesis of second cervical vertebra,Pemphigus,Prostoforce,Pris Pimm,(570) 7940407,3392 Fieldstone Avenue
61919-293,Ochnaceae,Hypotony of left eye due to ocular fistula,Mucous polyp of cervix,HYDROCHLOROTHIAZIDE,Gus Hurdiss,(215) 2082929,7125 Basil Way
24090-722,Solanaceae,Biliary cyst,Transitory ileus of NB,Suprenza,Robena Pearne,(513) 8073008,05080 Maple Junction
11559-008,Fabaceae,"Major osseous defect, shoulder region",Salivary gland dis NOS,DAYWEAR,Leighton Temporal,(217) 8432951,456 Hollow Ridge Place
64011-009,Betulaceae,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for closed fracture with delayed healing",Agenesis of lung,Micro-K 10 Extencaps,Suzy Champain,(607) 2656002,0 Corscot Circle
54569-5684,Cactaceae,Superficial foreign body of left ring finger,Bipol I cur mix-part rem,Lunesta,Kellby Franklin,(321) 8386033,422 Nevada Plaza
49999-038,Orchidaceae,Mumps pancreatitis,Wound disruption NOS,Etodolac,Jacques Good,(228) 1596886,43 Stephen Way
65360-1073,Liliaceae,Direct infection of knee in infectious and parasitic diseases classified elsewhere,Excitativ type psychosis,Liquid Oxygen,Regina Rickertsen,(922) 9900633,22336 Twin Pines Street
42937-704,Liliaceae,"Driver of bus injured in collision with other nonmotor vehicle in traffic accident, sequela",Other atopic dermatitis,Salsalate,Brenn Peto,(707) 9832671,10 Delladonna Avenue
52125-867,Celastraceae,Tonic pupil,Idio hypersom-no lng slp,Lorazepam,Keely Fellon,(952) 4524044,4473 Corben Court
23155-170,Asteraceae,Activities involving other sports and athletics played individually,Postcatheter forgn body,Zoledronic acid,Robyn Geaney,(434) 5175187,776 Longview Circle
35000-008,Cyperaceae,"Other fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with delayed healing",Bipol I sing man rem NOS,Colgate Sparkling White CinnaMint Fluoride,Pate Aughtie,(897) 6226359,7411 Golden Leaf Way
76123-245,Rubiaceae,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",Pois-h2co3 anhydra inhib,BZK Antiseptic,Alexio Hopkins,(785) 7833803,03962 Mitchell Place
68258-3002,Pottiaceae,"Stress fracture, pelvis, subsequent encounter for fracture with malunion",War injury:bullet NEC,TOPIRAMATE,Thaddeus Rettie,(199) 1290901,44267 Stoughton Trail
36800-404,Heliconiaceae,"Other specified injuries of left elbow, initial encounter",Letterer-siwe dis inguin,topcare arthritis pain,Demott Wein,(179) 9892729,8 Havey Crossing
49643-394,Primulaceae,"Puncture wound without foreign body, right ankle, subsequent encounter",Poisoning-androgens,White Poplar Pollen,Kinsley Ashall,(987) 7212962,71 Mariners Cove Way
12634-166,Cyperaceae,Scoliosis,Fall from cliff,Hydrocodone Bitartrate and Acetaminophen,Costanza Hatcliffe,(421) 8834746,30519 Goodland Pass
67046-166,Nymphaeaceae,Mechanical loosening of internal prosthetic joint,Spirochetal infect NEC,ASPIRIN LOW DOSE,Chantal Caistor,(146) 2922769,5 Barby Court
47682-303,Scrophulariaceae,"Car driver injured in collision with pedestrian or animal in nontraffic accident, initial encounter",Esophagus injury-open,Dover Aminophen,Tonya Ferroni,(306) 6941905,17 Thompson Crossing
36987-2568,Euphorbiaceae,External constriction of forearm,H zoster nerv syst NOS,Mountain Cedar,Cal Brookzie,(308) 6914106,6514 Banding Trail
50346-002,Agavaceae,"Wear of articular bearing surface of internal prosthetic left knee joint, subsequent encounter",Miliary TB NOS-unspec,Baby Fresh Scent Petroleum,Emmalynne Kimblen,(438) 2340965,72035 Mallard Drive
10812-227,Rosaceae,Occlusion and stenosis of left vertebral artery,Chr stomach ulc NOS-obst,Neutrogena Healthy Skin 3 in 1 Concealer for Eyes,Leelah Faire,(829) 7746857,9 Carberry Place
0591-3593,Rosaceae,"Displaced fracture of hook process of hamate [unciform] bone, right wrist, initial encounter for closed fracture",Encephalitis NOS,DRONABINOL,Dewie Kneel,(633) 9233095,89118 Stang Alley
49349-025,Solanaceae,"Pressure ulcer of right lower back, stage 2",Damage pelvic jt-postpar,Ranitidine HYdrochloride,Florette Waugh,(575) 5146653,1 Hanson Junction
0268-1116,Verbenaceae,"Corrosion of first degree of left knee, initial encounter",Nodular episcleritis,XANTHIUM STRUMARIUM VAR CANADENSE POLLEN,Court Yeldon,(616) 4438129,9 Chive Circle
67544-024,Onagraceae,"Unspecified superficial injury of unspecified elbow, initial encounter",Prostatocystitis,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,Florence Roden,(696) 1065312,2 Gulseth Circle
68400-323,Poaceae,"Sprain of unspecified sternoclavicular joint, sequela",TB of spleen-histo dx,Gelato Topical Anesthetic,Odelia Lobe,(415) 9276307,3 Lyons Parkway
49349-932,Solanaceae,Gluteal tendinitis,Spon ab w ren fail-comp,Mirtazapine,Marlene Pflieger,(237) 8192486,24682 Florence Drive
65517-0027,Fabaceae,"Crushed between (nonpowered) inflatable craft and other watercraft or other object due to collision, sequela",3rd deg burn w loss-nose,PVP Prep,Bartlet Sealy,(103) 5218851,1648 Eagle Crest Terrace
0527-1638,Convolvulaceae,"Toxic effect of contact with other venomous amphibian, intentional self-harm, subsequent encounter",Hyp ht dis NOS w ht fail,Levothyroxine Sodium,Bartel Corris,(895) 2352315,97 Shoshone Road
62032-511,Piperaceae,Deletions with other complex rearrangements,Acc-hot liquid & steam,CLENZIDERM NORMAL TO OILY SKIN,Teodorico Etter,(843) 1464306,5549 Judy Avenue
63629-3561,Leucobryaceae,"Toxic effect of cobra venom, intentional self-harm, subsequent encounter",Pigmentary glaucoma,Fluconazole,Tanny Cockshut,(953) 2277963,158 Rowland Point
43742-0237,Myrtaceae,"Salter-Harris Type I physeal fracture of upper end of right femur, subsequent encounter for fracture with malunion",Hidden penis,Streptococcus Remedy,Merola Mapplebeck,(472) 7587229,23 Mcbride Center
37012-852,Lecanoraceae,Chronic lacrimal canaliculitis of right lacrimal passage,Ot pul insuf fol trm/srg,Acid Reducer,Jemmy Hince,(275) 2006607,26 Anderson Center
68180-413,Myrtaceae,"Fibrosis due to nervous system prosthetic devices, implants and grafts, initial encounter",Drowning/nonfatal submer,Irbesartan and Hydrochlorothiazide,Hildy Butler-Bowdon,(391) 5958332,4587 Dahle Trail
59579-001,Asteraceae,"Activity, american flag or touch football",Skin donor,Oxygen,Dagmar Adamik,(803) 1463813,25 Hauk Trail
63629-2981,Fabaceae,Merkel cell carcinoma of other and unspecified parts of face,Parapoxvirus infectn NOS,Lexapro,Den Milborn,(253) 1060066,1 Lillian Center
60505-0010,Asteraceae,Burn and corrosion of other internal organs,Edwards' syndrome,DILT-CD,Janeta Seedman,(607) 6339718,350 Rowland Center
25000-131,Asteraceae,"Nondisplaced intertrochanteric fracture of right femur, sequela",Reticulosarcoma pelvic,Metformin Hydrochloride,Florance O'Henehan,(526) 5506877,148 Miller Avenue
64159-6995,Euphorbiaceae,"Nondisplaced comminuted supracondylar fracture without intercondylar fracture of unspecified humerus, sequela",Monoc exotrop w x/y pat,SENSAI CELLULAR PERFORMANCE POWDER FOUNDATION,Darryl Phythean,(110) 4144470,94264 Iowa Trail
64117-212,Asteraceae,"Injury due to collapse of burning building or structure in controlled fire, sequela",Dementia w/o behav dist,COUGH SORE THROAT,Nelly Pedersen,(198) 6711956,17 Anderson Trail
61666-000,Poaceae,Squamous cell carcinoma of skin of other part of trunk,Multi gest NOS-antepart,Clear-Tone Antibacterial Hand,Shermie MacCrann,(608) 7678304,7626 Harper Road
